CASEID,DIARYDAY,TRAVEL_DUR,TRAVEL_WORK_DUR,TRAVEL_SOCO_DUR,TRAVEL_ENT_DUR,TRAVEL_EXE_DUR,OTHER_TRAVEL_DUR,EXE_DUR,ALONE_EXE_DUR,GROUP_EXE_DUR,INT_DUR,ALONE_INT_DUR,GROUP_INT_DUR,WORK_DUR,ALONE_WORK_DUR,GROUP_WORK_DUR,LEI_DUR,ALONE_LEI_DUR,GROUP_LEI_DUR,SLEEP_DUR,OTHER_DUR,AGE,SEX,EDU,EMP_STAT,HOUSE,INC,CHILDREN,ADULT
2.02E+13,3,120,0,0,0,40,80,120,0,120,150,0,150,0,0,0,300,300,0,565,185,23,1,39,1,1,7,0,1
2.02E+13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,520,0,580,340,57,2,43,5,1,12,0,1
2.02E+13,1,0,0,0,0,0,0,50,50,0,120,120,0,0,0,0,705,705,0,435,130,80,2,40,5,1,8,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,420,405,420,195,71,1,40,5,1,14,0,2
2.02E+13,5,20,20,0,0,0,0,0,0,0,0,0,0,470,120,350,0,0,0,590,360,40,1,44,1,1,15,2,2
2.02E+13,5,0,0,0,0,0,0,20,20,0,325,295,30,0,0,0,395,105,290,570,130,80,2,43,1,1,14,0,2
2.02E+13,7,130,0,0,0,0,130,0,0,0,0,0,0,0,0,0,185,0,185,465,660,56,2,39,1,1,13,0,2
2.02E+13,7,80,37,0,0,8,35,0,0,0,0,0,0,270,0,270,202,78,124,600,288,18,2,38,1,1,13,0,3
2.02E+13,3,0,0,0,0,0,0,0,0,0,0,0,0,420,420,0,120,120,0,515,385,68,1,43,1,1,15,0,1
2.02E+13,3,145,60,0,0,0,85,0,0,0,30,0,30,540,225,315,0,0,0,540,185,21,1,41,1,1,12,0,1
2.02E+13,6,35,0,20,0,0,15,130,130,0,0,0,0,0,0,0,690,540,150,520,65,70,2,46,5,1,13,0,1
2.02E+13,3,51,0,0,0,0,51,0,0,0,0,0,0,404,404,0,335,0,335,510,140,24,2,43,1,1,15,1,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,240,90,900,210,53,1,43,1,1,15,0,2
2.02E+13,7,20,20,0,0,0,0,0,0,0,0,0,0,465,0,465,155,15,140,480,320,35,2,42,1,1,15,2,3
2.02E+13,6,75,0,0,0,0,75,0,0,0,0,0,0,0,0,0,615,0,615,660,90,72,2,42,5,1,12,0,3
2.02E+13,1,95,0,0,0,0,95,0,0,0,0,0,0,0,0,0,275,0,275,675,395,37,2,40,1,1,14,0,3
2.02E+13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,480,780,85,2,42,5,1,7,0,1
2.02E+13,1,10,0,0,0,10,0,90,90,0,0,0,0,0,0,0,270,0,270,510,560,38,1,43,1,1,16,3,2
2.02E+13,7,30,0,0,0,0,30,40,0,40,0,0,0,0,0,0,0,0,0,450,920,57,2,43,1,1,14,2,2
2.02E+13,1,129,50,54,0,0,25,0,0,0,0,0,0,240,180,60,186,0,186,450,435,37,1,40,1,1,16,2,2
2.02E+13,7,10,0,0,0,5,5,120,0,120,30,30,0,0,0,0,480,120,360,755,45,80,1,39,5,1,7,0,1
2.02E+13,3,20,0,0,0,0,20,30,0,30,0,0,0,0,0,0,210,0,210,525,655,34,2,45,1,1,13,2,2
2.02E+13,3,60,60,0,0,0,0,0,0,0,0,0,0,750,0,750,150,0,150,420,60,52,1,44,1,1,16,0,5
2.02E+13,6,97,0,0,0,0,97,0,0,0,0,0,0,0,0,0,612,0,612,451,280,80,1,39,5,1,9,0,2
2.02E+13,5,190,60,0,0,22,108,60,60,0,0,0,0,540,0,540,60,0,60,440,150,47,1,44,1,1,16,1,3
2.02E+13,3,31,0,0,0,0,31,0,0,0,254,254,0,0,0,0,150,0,150,660,345,19,1,40,1,1,16,0,6
2.02E+13,1,80,30,0,0,0,50,0,0,0,125,125,0,405,120,285,135,120,15,390,305,64,1,41,1,1,12,0,3
2.02E+13,2,0,0,0,0,0,0,30,30,0,0,0,0,240,240,0,270,270,0,570,330,72,2,44,1,1,15,0,1
2.02E+13,4,30,30,0,0,0,0,0,0,0,15,15,0,450,0,450,285,285,0,540,120,26,2,40,1,5,7,1,2
2.02E+13,1,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,415,219,196,540,395,74,2,42,5,1,13,0,1
2.02E+13,1,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,30,30,0,735,555,22,2,40,5,1,3,0,1
2.02E+13,2,20,0,0,0,0,20,0,0,0,60,60,0,395,395,0,155,30,125,387,423,38,2,39,1,1,14,2,2
2.02E+13,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,210,210,0,470,750,63,1,43,5,1,14,0,3
2.02E+13,4,30,0,0,0,0,30,135,135,0,120,120,0,0,0,0,240,240,0,480,435,69,1,43,5,1,12,0,2
2.02E+13,1,10,0,0,0,0,10,0,0,0,60,0,60,0,0,0,380,180,200,570,420,44,2,43,1,1,16,1,3
2.02E+13,1,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,420,420,0,828,172,66,1,39,1,1,6,0,1
2.02E+13,2,40,0,0,0,0,40,0,0,0,20,20,0,0,0,0,100,100,0,450,830,24,2,43,1,1,12,0,1
